"Gene_Name","Log_Fold_Change","P_Value"
"Ercc5",0.0345940358384347,0.795524092077728
"Gulp1",-0.0742101743620445,0.755252663620442
"Gm16102",1.9698235706046,0.060126859020998
"Gm37626",0.568756130302047,0.253970491269086
"Gm38110",1.33636586283157,0.0663660227627185
"4930521E06Rik",3.27031343440891,0.0779345798702212
"Col3a1",0.850499032375246,0.671980092845959
"Gm47302",-1.26800206595028,0.772812537088658
"Col5a2",0.363323344850466,0.576523530701432
"Gm5526",-0.142347726149301,0.673481921752609
"Wdr75",-0.0193827820791208,0.903575456585597
"Slc40a1",-0.406133028403478,0.235586167920403
"Gm18849",2.08952315829435,0.633915457692625
"Gm8326",0.0965159725692545,0.974678079075641
"Dnah7b",0.153042011208971,0.619313006421371
"Gm28527",-2.69691416591968,0.521711248749128
"Gm4852",-1.42146498982617,0.282984447004968
"Gm18117",0,1
"Dnah7c",-0.0564492859402698,0.885269371649408
"Slc39a10",-0.00424788353749305,0.979512582181443
"Gm37393",-0.113499091286583,0.941936649725729
"Gm28151",0.365831143351524,0.31132205666631
"Nabp1",0.556969121927195,0.0695924939894901
"Gm28322",0.800079477387124,0.843373699316802
"Gm28319",-2.3651311906718,0.386154830788033
"Tmeff2",-0.238448608322485,0.270153124989088
"Gm28320",0.492415231772414,0.315529989500398
"Gm29325",-1.11800582938198,0.27503121095399
"Cavin2",-0.911411641156006,0.0374449895978526
"9330175M20Rik",-1.15072424430219,0.793731033188359
"Gm8419",0.449622070290692,0.879708470015597
"Myo1b",-0.188487216410917,0.367947113164098
"Gm28323",-2.1861864334736,0.126525030714482
"Gm29453",1.55120873773699,0.561005111317187
"Nab1",0.0185740005702688,0.967595561077371
"Rps27a-ps1",-1.1815125873382,0.76178947535193
"Gm28178",-4.50910463163477,0.137094708300293
"Gm553",-0.18789917162874,0.965944410339539
"Gm5527",-0.189882149628166,0.850710946612458
"Nemp2",-0.636093840266267,0.20987109605156
"Gm37242",0.647659093985914,0.437633650176395
"Stat4",-0.0621007844510929,0.968478221883577
"Gm28177",0.216981919854893,0.865242753886421
"Gm3940",2.06313946402804,0.617492588149081
"Stat1",0.257517947916587,0.113384685992834
"Gm18301",1.23372452486208,0.445197404461248
"Gls",-0.202957285205707,0.399170034200414
"Gm31812",1.02825022231165,0.0135552940479635
"Mfsd6",-0.123206920544821,0.614138764949699
"Gm29670",0.275521106779127,0.915476858261278
"Inpp1",0.0322951743355539,0.817073860039819
"Gm28650",0,1
"Mstn",1.04382231342329,0.248637383847419
"Gm28777",0.418339006183963,0.795398306192259
"Pms1",0.413997124046886,0.00733915408481377
"Hibch",0.22517124356831,0.188175651680911
"Gm16107",-0.587717301905369,0.885374712249823
"1700019D03Rik",-0.200058852904538,0.358345570709721
"Osgepl1",-0.0423082024705087,0.770591615818755
"Gm18800",-0.564314504720147,0.690049411335709
"Asnsd1",-0.0156102506638367,0.922272878097349
"Ormdl1",-0.255339848186143,0.236416617519912
"Gm28551",-0.342355653369013,0.610129354121871
"Gm50478",0.8620000978062,0.525602148677318
"Dnah7a",0.311709565282165,0.559152536840855
"Stk17b",-0.245049108113487,0.142603951673319
"Ccdc150",-0.075977820705851,0.856205234364537
"Gtf3c3",-0.0163834841128382,0.904412503400414
"Gm34066",-2.13174028403439,0.525749300252349
"Hecw2",-0.127847947447486,0.639657016787785
"Mir7681",1.22227068201943,0.781525664151018
"Gm37633",-0.535950697574072,0.569094121909719
"Pgap1",0.267780371409005,0.138490802447392
"Gm36955",-0.101152069184251,0.843965261649986
"E330011M16Rik",2.32484460398663,0.0810993895523151
"Coq10b",0.0605761633809914,0.719627966233653
"Gm17971",-0.213866255109073,0.649109246260278
