GeneID	log2FoldChange	padj
N	-0.220598092889034	0.998003304127109
N	0.333303923091774	0.898279385544613
N	4.32204018052954	NA
N	0.598375000893963	0.973039690260201
N	0.384327164289404	0.998003304127109
N	0.22270574725632	0.983272400402309
N	1.806409089968	NA
N	-1.71581045869489	NA
N	0.106583659196284	0.998003304127109
N	NA	NA
N	-2.85982796583628	NA
N	0.837409792417256	0.998003304127109
N	-2.1387822735138	NA
N	0.344793833149304	NA
N	0.65912940860588	NA
N	-1.13735687195301	NA
N	-0.0291090857568586	0.998776412789357
N	2.38696960987722	NA
N	-0.0517340820815435	0.998003304127109
N	-0.422154626958955	0.993659600316592
N	1.89301130931855	0.719328440306204
N	1.57978928558007	NA
N	-0.78504040826665	NA
